Complation_Id,text_description,issue_type,department,priority,status,subcategory,created_time,Created_date,closed_date,satisfaction_score,city,district,submission_channel
1,Road surface damaged at Koramangala,roads,BBMP Roads,Medium,Closed,Pothole,0.415972222,12-2025-08,12/9/2025,5,Cairo,Heliopolis,Mobile App
2,Large pothole near MG Road causing traffic issues,roads,BBMP Roads,High,Closed,Pothole,0.898969907,03-2025-02,3/8/2025,3,Cairo,Heliopolis,Mobile App
3,Large pothole near BTM Layout causing traffic issues,roads,BBMP Roads,Medium,Closed,Pothole,0.100150463,09-2024-24,9/29/2024,3,Giza,Dokki,Website
4,Large pothole near Whitefield causing traffic issues,roads,BBMP Roads,High,Closed,Road Damage,0.016550926,03-2025-14,3/23/2025,1,Cairo,Heliopolis,Mobile App
5,Pothole near bus stop at Koramangala,roads,BBMP Roads,Medium,Pending,Pothole,0.260081019,09-2023-18,,,Cairo,Maadi,Mobile App
6,Large pothole near MG Road causing traffic issues,roads,BBMP Roads,High,Pending,Road Damage,0.969166667,07-2024-05,,,Giza,Mohandessin,Mobile App
7,Pothole near bus stop at Jayanagar,roads,BBMP Roads,Medium,Closed,Pothole,0.25087963,09-2023-14,9/22/2023,2,Giza,Haram,Mobile App
8,Multiple cracks on road at Indiranagar,roads,BBMP Roads,Medium,Pending,Pothole,0.583680556,04-2025-23,,,Giza,Haram,Call Center
9,Pothole near bus stop at Jayanagar,roads,BBMP Roads,High,Closed,Road Damage,0.466215278,07-2024-07,7/16/2024,1,Cairo,Maadi,Website
10,Large pothole near Koramangala causing traffic issues,roads,BBMP Roads,High,Closed,Pothole,0.558576389,07-2025-15,7/23/2025,2,Giza,Mohandessin,Mobile App
11,Multiple cracks on road at Indiranagar,roads,BBMP Roads,Medium,Closed,Road Damage,0.476712963,03-2024-06,3/11/2024,3,Cairo,Nasr City,Mobile App
12,Multiple cracks on road at BTM Layout,roads,BBMP Roads,Medium,Closed,Road Damage,0.727256944,03-2023-22,3/23/2023,5,Giza,Mohandessin,Mobile App
13,Large pothole near MG Road causing traffic issues,roads,BBMP Roads,Medium,Closed,Road Damage,0.868263889,12-2025-01,12/2/2025,5,Cairo,Heliopolis,Call Center
14,Road surface damaged at BTM Layout,roads,BBMP Roads,High,In Progress,Pothole,0.203287037,12-2025-11,,,Giza,Mohandessin,Mobile App
15,Road surface damaged at Jayanagar,roads,BBMP Roads,High,Closed,Road Damage,0.711875,06-2024-21,6/30/2024,1,Giza,Dokki,Mobile App
16,Road surface damaged at Yelahanka,roads,BBMP Roads,High,Closed,Road Damage,0.690046296,03-2024-08,3/10/2024,5,Giza,Mohandessin,Mobile App
17,Pothole near bus stop at Jayanagar,roads,BBMP Roads,Medium,Closed,Road Damage,0.5290625,09-2024-18,9/26/2024,2,Cairo,Nasr City,Website
